"Story","Title","Result","Date","Stability","Duration (s)"
"Automation Suite for PetStore API Testing","Verify Service Add Pet to the PetStore with Valid Data","SUCCESS","2021-03-18T17:00:44.714Z[Europe/London]","0.0","0.57"
"Automation Suite for PetStore API Testing","Verify Service Get Pet from PetStore with Valid Data","SUCCESS","2021-03-18T17:00:45.288Z[Europe/London]","0.0","0.54"
"Automation Suite for PetStore API Testing","Verify Service Delete Pet from PetStore with Valid Data","SUCCESS","2021-03-18T17:00:45.832Z[Europe/London]","0.0","0.53"
"Automation Suite for PetStore API Testing","Verify Sevice Place the Order with Valid Data","SUCCESS","2021-03-18T17:00:46.358Z[Europe/London]","0.0","0.52"
"Automation Suite for PetStore API Testing","Verify Sevice Delete the Order with Valid Data","SUCCESS","2021-03-18T17:00:47.431Z[Europe/London]","0.0","0.55"
"Automation Suite for PetStore API Testing","Verify Sevice Get the Order with Valid Data","SUCCESS","2021-03-18T17:00:47.978Z[Europe/London]","0.0","0.53"
"Automation Suite for PetStore API Testing","Verify Service Create the User with Valid Data","SUCCESS","2021-03-18T17:00:48.515Z[Europe/London]","0.0","0.54"
"Automation Suite for PetStore API Testing","Verify Service User Logs into System with Valid Data","SUCCESS","2021-03-18T17:00:49.057Z[Europe/London]","0.0","0.57"
"Automation Suite for PetStore API Testing","Verify Service Get User with valid User Name","SUCCESS","2021-03-18T17:00:49.634Z[Europe/London]","0.0","0.57"
"Automation Suite for PetStore API Testing","Verify Service Update User with valid User Name","SUCCESS","2021-03-18T17:00:50.202Z[Europe/London]","0.0","0.61"
"Automation Suite for PetStore API Testing","Verify Service Delete User with valid User Name","SUCCESS","2021-03-18T17:00:50.812Z[Europe/London]","0.0","0.51"
"Automation Suite for PetStore API Testing","Verify Service Creates list of users with Valid input Array","SUCCESS","2021-03-18T17:00:51.323Z[Europe/London]","0.0","0.51"
